Machine,Workflow,TaskName,Estimator,Feature,SizeInput,Predicted,Real,Deviation
n2,EAGER-0,qualimap,Perfect,Realtime,1.4754556884E10,31979.0,31979.0,0.0
n2,EAGER-0,qualimap,Perfect,Realtime,1.9132169434E10,34930.0,34930.0,0.0
n2,EAGER-0,qualimap,Perfect,Realtime,1.9100037384E10,36069.0,36069.0,0.0
n2,EAGER-0,qualimap,Perfect,Realtime,1.907531498E10,33649.0,33649.0,0.0
n2,EAGER-0,adapter_removal,Lotaru-G,Realtime,8.330435694E9,396349.75868094474,410981.0,0.035600773074802146
n2,EAGER-0,adapter_removal,Lotaru-G,Realtime,2.5705994498E10,1222875.7193795375,1252899.0,0.02396304939221956
n2,EAGER-0,adapter_removal,Lotaru-G,Realtime,1.4754556884E10,701934.3443684301,713485.0,0.016189065826989934
n2,EAGER-0,adapter_removal,Lotaru-G,Realtime,1.9100037384E10,908641.5061624327,747461.0,0.21563734584470992
n2,EAGER-0,adapter_removal,Lotaru-G,Realtime,1.9132169434E10,910169.9734649847,763978.0,0.19135626086743948
n2,EAGER-0,adapter_removal,Lotaru-G,Realtime,1.907531498E10,907465.5031948532,753066.0,0.20502785040733906
n2,EAGER-0,adapter_removal,OnlineP,Realtime,8.330435694E9,442240.37643099425,410981.0,0.07606039313494845
n2,EAGER-0,adapter_removal,OnlineP,Realtime,2.5705994498E10,1364661.9417235802,1252899.0,0.08920347268501311
n2,EAGER-0,adapter_removal,OnlineP,Realtime,1.4754556884E10,783279.6483504052,713485.0,0.09782216633903328
n2,EAGER-0,adapter_removal,OnlineP,Realtime,1.9100037384E10,1013969.490903017,747461.0,0.35655170089545407
n2,EAGER-0,adapter_removal,OnlineP,Realtime,1.9132169434E10,1015675.2947963707,763978.0,0.3294562078965241
n2,EAGER-0,adapter_removal,OnlineP,Realtime,1.907531498E10,1012657.0451363677,753066.0,0.34471221000067415
n2,EAGER-0,adapter_removal,OnlineM,Realtime,8.330435694E9,442240.37643099425,410981.0,0.07606039313494845
n2,EAGER-0,adapter_removal,OnlineM,Realtime,2.5705994498E10,1364661.9417235802,1252899.0,0.08920347268501311
n2,EAGER-0,adapter_removal,OnlineM,Realtime,1.4754556884E10,783279.6483504052,713485.0,0.09782216633903328
n2,EAGER-0,adapter_removal,OnlineM,Realtime,1.9100037384E10,1013969.490903017,747461.0,0.35655170089545407
n2,EAGER-0,adapter_removal,OnlineM,Realtime,1.9132169434E10,1015675.2947963707,763978.0,0.3294562078965241
n2,EAGER-0,adapter_removal,OnlineM,Realtime,1.907531498E10,1012657.0451363677,753066.0,0.34471221000067415
n2,EAGER-0,adapter_removal,Naive,Realtime,8.330435694E9,453793.6517553268,410981.0,0.10417185163140577
n2,EAGER-0,adapter_removal,Naive,Realtime,2.5705994498E10,1400312.9495863388,1252899.0,0.11765828657085593
n2,EAGER-0,adapter_removal,Naive,Realtime,1.4754556884E10,803742.3783850758,713485.0,0.1265021386365177
n2,EAGER-0,adapter_removal,Naive,Realtime,1.9100037384E10,1040458.8603120622,747461.0,0.39199083338403234
n2,EAGER-0,adapter_removal,Naive,Realtime,1.9132169434E10,1042209.2273504373,763978.0,0.3641874862239977
n2,EAGER-0,adapter_removal,Naive,Realtime,1.907531498E10,1039112.1276550735,753066.0,0.3798420426032692
n2,EAGER-0,adapter_removal,Lotaru-A,Realtime,8.330435694E9,345020.00470469304,410981.0,0.16049645919229102
n2,EAGER-0,adapter_removal,Lotaru-A,Realtime,2.5705994498E10,1064505.7230707665,1252899.0,0.15036589296442368
n2,EAGER-0,adapter_removal,Lotaru-A,Realtime,1.4754556884E10,611029.4897172715,713485.0,0.14359868852565713
n2,EAGER-0,adapter_removal,Lotaru-A,Realtime,1.9100037384E10,790966.7909837281,747461.0,0.05820476383881986
n2,EAGER-0,adapter_removal,Lotaru-A,Realtime,1.9132169434E10,792297.3122830788,763978.0,0.03706823008395371
n2,EAGER-0,adapter_removal,Lotaru-A,Realtime,1.907531498E10,789943.0877001502,753066.0,0.048969263915978424
n2,EAGER-0,adapter_removal,Perfect,Realtime,8.330435694E9,410981.0,410981.0,0.0
n2,EAGER-0,adapter_removal,Perfect,Realtime,2.5705994498E10,1252899.0,1252899.0,0.0
n2,EAGER-0,adapter_removal,Perfect,Realtime,1.4754556884E10,713485.0,713485.0,0.0
n2,EAGER-0,adapter_removal,Perfect,Realtime,1.9100037384E10,747461.0,747461.0,0.0
n2,EAGER-0,adapter_removal,Perfect,Realtime,1.9132169434E10,763978.0,763978.0,0.0
n2,EAGER-0,adapter_removal,Perfect,Realtime,1.907531498E10,753066.0,753066.0,0.0
n2,EAGER-0,preseq,Lotaru-G,Realtime,8.330435694E9,12748.149655864967,13518.0,0.05695001805999653
n2,EAGER-0,preseq,Lotaru-G,Realtime,2.5705994498E10,35205.10848234586,39163.0,0.10106201051130254
n2,EAGER-0,preseq,Lotaru-G,Realtime,1.9100037384E10,22660.213190956558,24609.0,0.07919000402468374
n2,EAGER-0,preseq,Lotaru-G,Realtime,1.907531498E10,22662.357066761855,24849.0,0.08799722054159705
n2,EAGER-0,preseq,Lotaru-G,Realtime,1.4754556884E10,21147.28103676118,21823.0,0.030963614683536717
n2,EAGER-0,preseq,Lotaru-G,Realtime,1.9132169434E10,22696.13263411754,21703.0,0.04576015454626277
n2,EAGER-0,preseq,OnlineP,Realtime,8.330435694E9,14220.849502234512,13518.0,0.05199360128972572
n2,EAGER-0,preseq,OnlineP,Realtime,2.5705994498E10,39094.1307814979,39163.0,0.0017585276537062816
n2,EAGER-0,preseq,OnlineP,Realtime,1.9100037384E10,25199.430630308827,24609.0,0.023992467402528625
n2,EAGER-0,preseq,OnlineP,Realtime,1.907531498E10,25201.805182725286,24849.0,0.01419796300556504
n2,EAGER-0,preseq,OnlineP,Realtime,1.4754556884E10,23523.710096709045,21823.0,0.07793200278188354
n2,EAGER-0,preseq,OnlineP,Realtime,1.9132169434E10,25239.214931471037,21703.0,0.16293668762249627
n2,EAGER-0,preseq,OnlineM,Realtime,8.330435694E9,14220.849502234512,13518.0,0.05199360128972572
n2,EAGER-0,preseq,OnlineM,Realtime,2.5705994498E10,39094.1307814979,39163.0,0.0017585276537062816
n2,EAGER-0,preseq,OnlineM,Realtime,1.9100037384E10,25199.430630308827,24609.0,0.023992467402528625
n2,EAGER-0,preseq,OnlineM,Realtime,1.907531498E10,25201.805182725286,24849.0,0.01419796300556504
n2,EAGER-0,preseq,OnlineM,Realtime,1.4754556884E10,23523.710096709045,21823.0,0.07793200278188354
n2,EAGER-0,preseq,OnlineM,Realtime,1.9132169434E10,25239.214931471037,21703.0,0.16293668762249627
n2,EAGER-0,preseq,Naive,Realtime,8.330435694E9,14012.828547012405,13518.0,0.036605159565942055
n2,EAGER-0,preseq,Naive,Realtime,2.5705994498E10,38522.26632097693,39163.0,0.016360689401298912
n2,EAGER-0,preseq,Naive,Realtime,1.9100037384E10,24830.81624971599,24609.0,0.00901362305319152
n2,EAGER-0,preseq,Naive,Realtime,1.907531498E10,24833.15606745209,24849.0,6.376084569965987E-4
n2,EAGER-0,preseq,Naive,Realtime,1.4754556884E10,23179.607963857103,21823.0,0.06216413709650839
n2,EAGER-0,preseq,Naive,Realtime,1.9132169434E10,24870.018590684518,21703.0,0.14592538315829692
n2,EAGER-0,preseq,Lotaru-A,Realtime,8.330435694E9,14500.199221675415,13518.0,0.0726586197422263
n2,EAGER-0,preseq,Lotaru-A,Realtime,2.5705994498E10,40043.54360398145,39163.0,0.022484069248562475
n2,EAGER-0,preseq,Lotaru-A,Realtime,1.9100037384E10,25774.53313182125,24609.0,0.04736206801663003
n2,EAGER-0,preseq,Lotaru-A,Realtime,1.907531498E10,25776.971652478955,24849.0,0.037344426434824524
n2,EAGER-0,preseq,Lotaru-A,Realtime,1.4754556884E10,24053.670242937704,21823.0,0.10221647999531246
n2,EAGER-0,preseq,Lotaru-A,Realtime,1.9132169434E10,25815.38918511729,21703.0,0.18948482629670038
n2,EAGER-0,preseq,Perfect,Realtime,8.330435694E9,13518.0,13518.0,0.0
n2,EAGER-0,preseq,Perfect,Realtime,2.5705994498E10,39163.0,39163.0,0.0
n2,EAGER-0,preseq,Perfect,Realtime,1.9100037384E10,24609.0,24609.0,0.0
n2,EAGER-0,preseq,Perfect,Realtime,1.907531498E10,24849.0,24849.0,0.0
n2,EAGER-0,preseq,Perfect,Realtime,1.4754556884E10,21823.0,21823.0,0.0
n2,EAGER-0,preseq,Perfect,Realtime,1.9132169434E10,21703.0,21703.0,0.0
n2,EAGER-0,bwa,Lotaru-G,Realtime,8.330435694E9,1253056.953538951,1371525.0,0.08637687717033886
n2,EAGER-0,bwa,Lotaru-G,Realtime,2.5705994498E10,3836833.776557992,4424475.0,0.13281603431864974
n2,EAGER-0,bwa,Lotaru-G,Realtime,1.907531498E10,2409678.55207761,3139624.0,0.23249454327091076
n2,EAGER-0,bwa,Lotaru-G,Realtime,1.4754556884E10,2184879.828579375,2560290.0,0.14662798800941493
n2,EAGER-0,bwa,Lotaru-G,Realtime,1.9100037384E10,2413394.8974252823,3105422.0,0.2228447864975252
n2,EAGER-0,bwa,Lotaru-G,Realtime,1.9132169434E10,2415984.5285684,3152217.0,0.233560212203538
n2,EAGER-0,bwa,OnlineP,Realtime,8.330435694E9,1400186.0769945453,1371525.0,0.020897232638519378
n2,EAGER-0,bwa,OnlineP,Realtime,2.5705994498E10,4289530.645748968,4424475.0,0.030499517852633762
n2,EAGER-0,bwa,OnlineP,Realtime,1.907531498E10,2693594.3559405925,3139624.0,0.14206466890920935
n2,EAGER-0,bwa,OnlineP,Realtime,1.4754556884E10,2442210.0393789075,2560290.0,0.04611976011353888
n2,EAGER-0,bwa,OnlineP,Realtime,1.9100037384E10,2697750.211102013,3105422.0,0.1312774202340252
n2,EAGER-0,bwa,OnlineP,Realtime,1.9132169434E10,2700646.102346105,3152217.0,0.1432550162802545
n2,EAGER-0,bwa,OnlineM,Realtime,8.330435694E9,1400186.0769945453,1371525.0,0.020897232638519378
n2,EAGER-0,bwa,OnlineM,Realtime,2.5705994498E10,4289530.645748968,4424475.0,0.030499517852633762
n2,EAGER-0,bwa,OnlineM,Realtime,1.907531498E10,2693594.3559405925,3139624.0,0.14206466890920935
n2,EAGER-0,bwa,OnlineM,Realtime,1.4754556884E10,2442210.0393789075,2560290.0,0.04611976011353888
n2,EAGER-0,bwa,OnlineM,Realtime,1.9100037384E10,2697750.211102013,3105422.0,0.1312774202340252
n2,EAGER-0,bwa,OnlineM,Realtime,1.9132169434E10,2700646.102346105,3152217.0,0.1432550162802545
n2,EAGER-0,bwa,Naive,Realtime,8.330435694E9,1492399.1026856762,1371525.0,0.08813116981876101
n2,EAGER-0,bwa,Naive,Realtime,2.5705994498E10,4572029.2408559695,4424475.0,0.03334954787991106
n2,EAGER-0,bwa,Naive,Realtime,1.907531498E10,2870988.2678119233,3139624.0,0.08556302671532537
n2,EAGER-0,bwa,Naive,Realtime,1.4754556884E10,2603048.359945398,2560290.0,0.016700592489678055
n2,EAGER-0,bwa,Naive,Realtime,1.9100037384E10,2875417.8180093574,3105422.0,0.07406535472172303
n2,EAGER-0,bwa,Naive,Realtime,1.9132169434E10,2878504.425971804,3152217.0,0.08683176761885232
n2,EAGER-0,bwa,Lotaru-A,Realtime,8.330435694E9,1300587.9929586395,1371525.0,0.05172126431626145
n2,EAGER-0,bwa,Lotaru-A,Realtime,2.5705994498E10,3982372.809692372,4424475.0,0.09992195465171075
n2,EAGER-0,bwa,Lotaru-A,Realtime,1.907531498E10,2501082.6386389625,3139624.0,0.20338147541267282
n2,EAGER-0,bwa,Lotaru-A,Realtime,1.4754556884E10,2267756.835060358,2560290.0,0.1142578242853903
n2,EAGER-0,bwa,Lotaru-A,Realtime,1.9100037384E10,2504939.952644698,3105422.0,0.19336568342573154
n2,EAGER-0,bwa,Lotaru-A,Realtime,1.9132169434E10,2507627.8138479884,3152217.0,0.2044875673698897
n2,EAGER-0,bwa,Perfect,Realtime,8.330435694E9,1371525.0,1371525.0,0.0
n2,EAGER-0,bwa,Perfect,Realtime,2.5705994498E10,4424475.0,4424475.0,0.0
n2,EAGER-0,bwa,Perfect,Realtime,1.907531498E10,3139624.0,3139624.0,0.0
n2,EAGER-0,bwa,Perfect,Realtime,1.4754556884E10,2560290.0,2560290.0,0.0
n2,EAGER-0,bwa,Perfect,Realtime,1.9100037384E10,3105422.0,3105422.0,0.0
n2,EAGER-0,bwa,Perfect,Realtime,1.9132169434E10,3152217.0,3152217.0,0.0
n2,EAGER-0,samtools_flagstat_after_filter,Lotaru-G,Realtime,8.330435694E9,1249.7671739943328,1577.0,0.20750337730226204
n2,EAGER-0,samtools_flagstat_after_filter,Lotaru-G,Realtime,2.5705994498E10,3284.990626349405,4336.0,0.24239146071277562
n2,EAGER-0,samtools_flagstat_after_filter,Lotaru-G,Realtime,1.9100037384E10,2147.203802724554,2906.0,0.2611136260411033
n2,EAGER-0,samtools_flagstat_after_filter,Lotaru-G,Realtime,1.907531498E10,2147.4635111465504,2916.0,0.26355846668499644
n2,EAGER-0,samtools_flagstat_after_filter,Lotaru-G,Realtime,1.4754556884E10,2010.1850551494106,2772.0,0.2748250161798663
n2,EAGER-0,samtools_flagstat_after_filter,Lotaru-G,Realtime,1.9132169434E10,2150.500263067107,3000.0,0.28316657897763103
n2,EAGER-0,samtools_flagstat_after_filter,OnlineP,Realtime,8.330435694E9,1384.5035510113587,1577.0,0.12206496448233438
n2,EAGER-0,samtools_flagstat_after_filter,OnlineP,Realtime,2.5705994498E10,3791.768780210552,4336.0,0.12551458020974354
n2,EAGER-0,samtools_flagstat_after_filter,OnlineP,Realtime,1.9100037384E10,2445.992887356174,2906.0,0.1582956340825279
n2,EAGER-0,samtools_flagstat_after_filter,OnlineP,Realtime,1.907531498E10,2446.3000708486793,2916.0,0.1610767932617698
n2,EAGER-0,samtools_flagstat_after_filter,OnlineP,Realtime,1.4754556884E10,2283.926915484462,2772.0,0.17607254131152167
n2,EAGER-0,samtools_flagstat_after_filter,OnlineP,Realtime,1.9132169434E10,2449.8919453907793,3000.0,0.1833693515364069
n2,EAGER-0,samtools_flagstat_after_filter,OnlineM,Realtime,8.330435694E9,1384.5035510113587,1577.0,0.12206496448233438
n2,EAGER-0,samtools_flagstat_after_filter,OnlineM,Realtime,2.5705994498E10,3791.768780210552,4336.0,0.12551458020974354
n2,EAGER-0,samtools_flagstat_after_filter,OnlineM,Realtime,1.9100037384E10,2445.992887356174,2906.0,0.1582956340825279
